Chat,Label
You look beautiful today,Flirt
I miss talking to you,Flirt
Your smile is my favorite,Flirt
Are you always this charming?,Flirt
I can't stop thinking about you,Flirt
You make my day better,Flirt
I wish I could see you today,Flirt
You are looking amazing,Flirt
Talking to you makes me smile,Flirt
I think you are really special,Flirt
"Good morning, beautiful",Flirt
I like your style,Flirt
You have such a cute smile,Flirt
I enjoy every conversation with you,Flirt
Can I take you out for coffee?,Flirt
You are my favorite person today,Flirt
I was waiting for your message,Flirt
You make my heart happy,Flirt
I wish we could spend more time together,Flirt
You are sweeter than coffee,Flirt
I love your sense of humor,Flirt
You are always on my mind,Flirt
I get happy when I see your message,Flirt
You make ordinary days special,Flirt
I would love to go on a date with you,Flirt
You are too cute,Flirt
I think we have a special connection,Flirt
I wish I was sitting next to you,Flirt
You are my kind of person,Flirt
I like being around you,Flirt
Your messages always make me smile,Flirt
You looked lovely yesterday,Flirt
I have been thinking about our conversation,Flirt
You are impossible not to like,Flirt
I feel lucky to know you,Flirt
You make me nervous in a good way,Flirt
Can I see you this weekend?,Flirt
You are adorable,Flirt
I wish I could hug you right now,Flirt
You have a beautiful personality,Flirt
I smile whenever your name appears,Flirt
You are the highlight of my day,Flirt
I think you are very attractive,Flirt
I enjoy your company a lot,Flirt
You have a way of making me blush,Flirt
I hope I get to see you soon,Flirt
You make me feel special,Flirt
I like the way you look at me,Flirt
You are my favorite distraction,Flirt
I think we should spend more time together,Flirt
Good morning,Non-Flirt
What time is the meeting?,Non-Flirt
Please send me the report,Non-Flirt
I will call you later,Non-Flirt
Did you finish the assignment?,Non-Flirt
The meeting starts at ten,Non-Flirt
Thank you for your help,Non-Flirt
Please check your email,Non-Flirt
I am on my way,Non-Flirt
Can you share the document?,Non-Flirt
See you tomorrow,Non-Flirt
What are you doing today?,Non-Flirt
The class was interesting,Non-Flirt
I have completed the task,Non-Flirt
Please update the file,Non-Flirt
The weather is very hot today,Non-Flirt
Did you eat lunch?,Non-Flirt
I will join in five minutes,Non-Flirt
Can we discuss the project?,Non-Flirt
Please remind me later,Non-Flirt
The train is delayed,Non-Flirt
I need your feedback,Non-Flirt
What is the deadline?,Non-Flirt
I have sent the details,Non-Flirt
Let's meet at the office,Non-Flirt
Can you help me with this?,Non-Flirt
The presentation went well,Non-Flirt
I am working on the assignment,Non-Flirt
Please call me when you are free,Non-Flirt
The internet is not working,Non-Flirt
I will submit it today,Non-Flirt
Did you receive my message?,Non-Flirt
The class starts at nine,Non-Flirt
Please bring the notebook,Non-Flirt
I have a question about the project,Non-Flirt
Can you explain this topic?,Non-Flirt
The results were announced today,Non-Flirt
I am busy right now,Non-Flirt
Let's discuss this tomorrow,Non-Flirt
Please send the meeting link,Non-Flirt
I have updated the spreadsheet,Non-Flirt
What is your phone number?,Non-Flirt
The system is showing an error,Non-Flirt
I will check and let you know,Non-Flirt
Please review the code,Non-Flirt
The deadline has been extended,Non-Flirt
I am waiting for the response,Non-Flirt
Can we schedule a call?,Non-Flirt
The file has been uploaded,Non-Flirt
"Thank you, see you soon",Non-Flirt
